# planning/fidelity/harnesses.pairing.tsv — which build node answers which mock affordance.
#
# Four tab-separated columns:  state <TAB> affordance <TAB> node <TAB> citation
#
# This file declares ONLY the pairing. It never declares a status: present, divergent, absent and
# unclassified are computed by scripts/acceptance/mock_fidelity.py from the two artifacts on every
# run, which is what makes `present` earned by measuring rather than asserted. Deleting a line here
# does not delete a row from the ledger — the mock side is derived from the mock on every run, so an
# affordance with no line becomes `absent`, which is a finding.
#
# A citation is external and PRE-EXISTING: a file and the claim it already makes, or a measurement
# and the day it was taken. A justification composed while filling this in is motivated
# classification wearing a citation's clothes.
#
# EVERY CITATION OPENS WITH `Dn · `, naming the divergence in harnesses.layers.json this row's
# finding falls under. A row whose citation carries no number, or a number that file does not
# define, is a defect.
#
#   node = -            the affordance has no counterpart in the build
#
# THE ONE STRUCTURAL FACT that decides most of this file: the mock draws six harness cards with
# hand-written contents, and the build draws one card per row the route returned. So a mock
# affordance inside a card pairs with the SAME affordance inside the card for the same harness, and
# the two lists are the same length only because the fixture carries the same six harnesses in the
# same order — which is deliberate (HarnessFixtures.populated) rather than a coincidence to rely on.

ideal	v-ideal/heading/harnesses	harnesses.ideal/board-column/board-header/board-head/board-title
ideal	v-ideal/sentence/which-ai-tools-on-this-mac-actually-route-throug	harnesses.ideal/board-column/board-header/board-head/board-subtitle
ideal	v-ideal/button/rescan	harnesses.ideal/board-column/board-header/board-actions/rescan
ideal	v-ideal/button/reconcile-all	harnesses.ideal/board-column/board-header/board-actions/reconcile-all	D2 · planning/specs/spec-M22.md header — M18 owns the reconcile panel; the control is drawn and disabled with its reason (DESIGN.md §3.4)
ideal	v-ideal/banner/antigravity-runs-18-servers-of-its-own-ten-of-wh	harnesses.ideal/board-column/harnesses-populated/finding-band
ideal	v-ideal/icon/unlabelled	harnesses.ideal/board-column/harnesses-populated/finding-band/finding-icon
ideal	v-ideal/button/show-the-diff	harnesses.ideal/board-column/harnesses-populated/finding-band/finding-action	D2 · planning/specs/spec-M22.md header — M18 owns the reconcile panel; the control is drawn and disabled with its reason (DESIGN.md §3.4)
ideal	v-ideal/section-header/detected-on-this-mac	harnesses.ideal/board-column/harnesses-populated/harness-list/section-detected
ideal	v-ideal/card/claude-code-claude-json-v2-1-204-routed-over-htt	harnesses.ideal/board-column/harnesses-populated/harness-list/harness-card-claudeCode	D1 · planning/plans/plan-M22.md §2.2 — nothing in this product observes a harness version; HTTPCapability names the binary a probe was taken against on 2026-08-21, not the one on this machine — the mock's card carries a version line the build's does not
ideal	v-ideal/heading/claude-code	harnesses.ideal/board-column/harnesses-populated/harness-list/harness-card-claudeCode/harness-header/harness-name
ideal	v-ideal/indicator/unlabelled	harnesses.ideal/board-column/harnesses-populated/harness-list/harness-card-claudeCode/harness-header/status-pill/status-dot
ideal	v-ideal/button/open-config	harnesses.ideal/board-column/harnesses-populated/harness-list/harness-card-claudeCode/harness-actions/open-config
ideal	v-ideal/button/verify-now	-	D3 · planning/fidelity/harnesses.layers.json §3 — the board reads every harness in one call, so the control it earns is the board-level Check again, which is built
